"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2021","144,85","146,05","146,70","144,85","18,14M","-0,92%"
"30.12.2021","146,20","146,69","147,30","145,99","15,69M","-0,31%"
"29.12.2021","146,65","146,64","147,42","145,65","17,79M","-0,02%"
"28.12.2021","146,69","148,24","148,30","146,05","18,25M","-0,82%"
"27.12.2021","147,91","147,26","148,34","147,17","15,98M","0,67%"
"23.12.2021","146,92","146,50","148,24","146,45","26,38M","0,34%"
"22.12.2021","146,41","143,07","146,50","143,07","26,32M","2,05%"
"21.12.2021","143,47","142,05","143,87","140,50","28,76M","1,32%"
"20.12.2021","141,61","140,00","141,77","139,32","27,19M","-0,08%"
"17.12.2021","141,73","142,50","143,83","141,30","51,02M","-1,88%"
"16.12.2021","144,45","147,17","147,68","143,61","33,65M","-1,36%"
"15.12.2021","146,44","143,41","146,72","141,68","36,37M","1,76%"
"14.12.2021","143,91","143,97","144,48","141,21","38,45M","-1,32%"
"13.12.2021","145,83","147,78","147,97","145,52","27,07M","-1,47%"
"10.12.2021","148,00","148,70","148,98","146,70","24,46M","0,25%"
"09.12.2021","147,64","147,59","149,10","147,12","23,27M","-0,37%"
"08.12.2021","148,19","147,60","148,39","146,41","24,27M","0,62%"
"07.12.2021","147,27","145,60","147,53","145,23","32,24M","2,87%"
"06.12.2021","143,15","143,04","143,85","140,15","30,62M","0,81%"
"03.12.2021","142,00","143,68","144,40","140,30","41,23M","-0,67%"
"02.12.2021","142,97","141,25","143,86","140,21","29,19M","1,36%"
"01.12.2021","141,05","144,00","145,95","140,91","34,06M","-0,60%"
"30.11.2021","141,90","145,01","146,00","141,60","42,07M","-2,50%"
"29.11.2021","145,53","144,00","146,30","143,89","32,60M","2,35%"
"26.11.2021","142,18","144,35","144,56","141,84","30,47M","-2,69%"
"24.11.2021","146,12","145,47","146,25","144,37","18,04M","0,23%"
"23.11.2021","145,78","146,15","146,66","144,12","27,23M","-0,36%"
"22.11.2021","146,30","149,33","149,83","146,15","30,63M","-1,76%"
"19.11.2021","148,93","149,98","150,97","148,90","33,70M","-0,61%"
"18.11.2021","149,84","148,24","150,58","147,88","35,63M","1,21%"
"17.11.2021","148,05","148,03","148,56","147,24","19,60M","0,12%"
"16.11.2021","147,88","148,15","148,76","147,31","18,90M","-0,39%"
"15.11.2021","148,45","148,90","149,55","147,57","23,51M","-0,15%"
"12.11.2021","148,68","146,62","148,85","145,41","22,36M","2,00%"
"11.11.2021","145,77","146,49","147,54","145,60","16,52M","-0,09%"
"10.11.2021","145,89","147,50","148,07","144,54","29,97M","-2,03%"
"09.11.2021","148,92","149,23","149,83","147,24","19,53M","-0,08%"
"08.11.2021","149,03","149,82","150,61","148,43","23,05M","0,12%"
"05.11.2021","148,85","149,17","150,33","148,20","38,35M","0,39%"
"04.11.2021","148,27","147,12","149,73","146,31","38,41M","1,14%"
"03.11.2021","146,60","145,90","146,67","144,59","27,49M","0,80%"
"02.11.2021","145,43","144,58","146,61","144,34","33,48M","1,35%"
"01.11.2021","143,50","148,05","148,05","143,23","46,92M","-3,07%"
"29.10.2021","148,05","145,08","148,24","144,65","43,32M","1,51%"
"28.10.2021","145,85","147,13","147,16","144,63","36,21M","-0,25%"
"27.10.2021","146,22","139,40","148,65","139,40","85,78M","4,96%"
"26.10.2021","139,31","139,26","140,08","138,30","49,24M","1,35%"
"25.10.2021","137,45","137,55","138,00","135,42","34,41M","-0,09%"
"22.10.2021","137,57","139,15","140,58","136,06","50,59M","-3,04%"
"21.10.2021","141,89","141,77","142,16","140,50","26,29M","0,08%"
"20.10.2021","141,77","143,34","143,55","141,38","23,29M","-1,02%"
"19.10.2021","143,24","143,39","143,66","142,60","20,16M","0,32%"
"18.10.2021","142,78","141,08","142,80","141,07","20,40M","1,00%"
"15.10.2021","141,37","141,61","141,72","140,76","30,27M","0,15%"
"14.10.2021","141,15","139,47","141,34","138,82","31,93M","2,59%"
"13.10.2021","137,58","137,40","138,00","136,52","19,66M","0,83%"
"12.10.2021","136,45","139,48","139,51","135,76","36,33M","-1,77%"
"11.10.2021","138,91","139,29","140,71","138,86","17,95M","-0,62%"
"08.10.2021","139,79","139,58","140,33","139,22","26,53M","0,40%"
"07.10.2021","139,23","138,89","140,04","138,65","25,11M","1,21%"
"06.10.2021","137,57","134,75","137,75","134,55","24,36M","1,13%"
"05.10.2021","136,02","134,04","137,22","134,04","32,40M","1,77%"
"04.10.2021","133,66","135,96","135,96","131,05","51,20M","-2,11%"
"01.10.2021","136,54","134,45","136,91","134,07","35,36M","2,14%"
"30.09.2021","133,68","134,26","135,54","133,56","38,03M","-0,50%"
"29.09.2021","134,35","136,98","137,15","133,87","30,85M","-1,09%"
"28.09.2021","135,83","138,65","139,10","135,36","45,77M","-3,72%"
"27.09.2021","141,07","140,80","141,94","140,07","21,88M","-0,80%"
"24.09.2021","142,21","140,54","142,33","140,24","22,98M","0,71%"
"23.09.2021","141,22","140,99","141,70","140,40","20,95M","0,66%"
"22.09.2021","140,28","139,30","140,89","138,55","25,06M","0,90%"
"21.09.2021","139,03","139,75","140,01","138,28","25,33M","0,23%"
"20.09.2021","138,72","138,16","139,00","136,32","46,52M","-1,48%"
"17.09.2021","140,80","143,03","143,45","140,47","53,38M","-1,96%"
"16.09.2021","143,61","143,95","144,30","142,40","26,20M","-0,57%"
"15.09.2021","144,43","142,77","144,45","141,35","27,41M","1,32%"
"14.09.2021","142,54","143,00","143,36","141,75","19,67M","0,15%"
"13.09.2021","142,33","141,95","142,95","141,25","22,09M","1,03%"
"10.09.2021","140,88","144,21","144,72","140,74","36,84M","-1,86%"
"09.09.2021","143,54","143,84","144,31","143,18","15,32M","-0,10%"
"08.09.2021","143,69","144,10","144,40","143,00","18,35M","-0,41%"
"07.09.2021","144,28","143,83","144,57","143,62","20,13M","0,38%"
"03.09.2021","143,74","143,08","144,15","142,40","19,85M","0,32%"
"02.09.2021","143,29","145,22","145,52","143,18","32,36M","-1,33%"
"01.09.2021","145,22","145,00","146,25","144,88","21,94M","0,36%"
"31.08.2021","144,70","145,15","145,17","144,28","22,45M","0,07%"
"30.08.2021","144,59","144,40","145,97","144,16","24,43M","0,41%"
"27.08.2021","144,00","141,65","144,51","141,50","28,78M","1,81%"
"26.08.2021","141,44","141,75","142,42","141,36","20,61M","-0,45%"
"25.08.2021","142,08","141,63","142,19","141,38","15,85M","0,58%"
"24.08.2021","141,26","140,61","142,08","140,34","19,27M","0,87%"
"23.08.2021","140,04","137,97","140,87","137,61","28,45M","1,90%"
"20.08.2021","137,43","136,00","137,55","135,25","31,19M","1,29%"
"19.08.2021","135,68","134,44","136,35","134,25","21,78M","0,17%"
"18.08.2021","135,45","136,50","137,10","135,32","19,26M","-0,89%"
"17.08.2021","136,66","137,75","138,27","136,08","21,72M","-1,19%"
"16.08.2021","138,31","137,52","138,36","135,30","22,40M","0,42%"
"13.08.2021","137,73","137,25","137,86","137,03","15,95M","0,39%"
"12.08.2021","137,19","135,98","137,30","135,43","16,52M","0,67%"
"11.08.2021","136,28","137,18","137,68","136,27","15,35M","-0,39%"
"10.08.2021","136,81","137,34","137,77","136,36","19,41M","-0,08%"
"09.08.2021","136,91","135,94","137,18","135,34","17,77M","0,87%"
"06.08.2021","135,74","136,04","136,47","135,21","20,49M","-0,38%"
"05.08.2021","136,25","135,68","136,35","134,85","17,87M","0,83%"
"04.08.2021","135,13","135,35","135,65","134,49","19,68M","-0,37%"
"03.08.2021","135,63","135,13","135,73","133,32","20,76M","0,58%"
"02.08.2021","134,85","135,12","135,34","133,79","21,63M","0,10%"
"30.07.2021","134,73","135,04","135,30","134,26","25,58M","-0,77%"
"29.07.2021","135,78","136,15","136,66","135,54","31,72M","-0,23%"
"28.07.2021","136,09","136,31","138,30","135,28","95,13M","3,18%"
"27.07.2021","131,90","134,25","134,40","130,10","54,71M","-1,59%"
"26.07.2021","134,04","133,33","134,24","132,30","30,57M","0,77%"
"23.07.2021","133,01","130,43","133,40","129,80","41,51M","3,58%"
"22.07.2021","128,42","127,84","128,48","127,50","14,30M","0,68%"
"21.07.2021","127,55","126,13","127,60","126,02","20,75M","1,06%"
"20.07.2021","126,21","125,53","127,04","124,35","26,32M","1,31%"
"19.07.2021","124,58","126,09","126,21","123,50","27,97M","-1,88%"
"16.07.2021","126,97","127,66","127,81","126,15","20,42M","-0,03%"
"15.07.2021","127,00","128,65","128,70","126,53","24,22M","-0,96%"
"14.07.2021","128,24","127,96","129,33","127,91","23,75M","0,70%"
"13.07.2021","127,34","127,04","128,06","126,67","19,25M","0,29%"
"12.07.2021","126,98","126,18","127,07","125,61","17,67M","1,16%"
"09.07.2021","125,52","125,03","125,73","124,55","18,63M","0,38%"
"08.07.2021","125,04","124,03","125,60","124,02","23,79M","-1,13%"
"07.07.2021","126,47","127,16","127,28","126,15","24,06M","0,23%"
"06.07.2021","126,19","125,65","126,43","124,58","26,40M","0,74%"
"02.07.2021","125,26","123,15","125,40","123,06","26,00M","2,30%"
"01.07.2021","122,44","121,72","122,59","121,53","18,11M","0,29%"
"30.06.2021","122,09","121,99","122,26","121,35","24,47M","-0,15%"
"29.06.2021","122,27","122,67","123,02","121,69","23,11M","-0,22%"
"28.06.2021","122,54","122,68","122,78","121,41","28,53M","0,02%"
"25.06.2021","122,51","122,00","122,63","121,57","34,60M","0,01%"
"24.06.2021","122,50","122,70","123,06","122,30","21,37M","0,31%"
"23.06.2021","122,13","122,09","123,10","121,83","19,15M","-0,17%"
"22.06.2021","122,33","121,75","122,40","121,06","22,39M","0,43%"
"21.06.2021","121,81","120,50","122,00","119,90","27,41M","1,42%"
"18.06.2021","120,11","121,37","121,60","120,01","46,12M","-1,34%"
"17.06.2021","121,74","120,70","122,52","120,50","25,85M","0,80%"
"16.06.2021","120,77","121,57","121,89","119,47","26,47M","-0,53%"
"15.06.2021","121,42","122,45","122,78","121,06","21,56M","-0,84%"
"14.06.2021","122,45","121,61","122,45","120,90","22,10M","0,77%"
"11.06.2021","121,51","122,00","122,09","120,95","21,96M","-0,20%"
"10.06.2021","121,76","120,35","121,80","120,19","25,91M","1,13%"
"09.06.2021","120,40","120,57","120,64","119,85","17,94M","0,40%"
"08.06.2021","119,92","120,60","120,98","119,74","24,24M","-0,16%"
"07.06.2021","120,11","119,47","120,23","119,05","24,12M","0,36%"
"04.06.2021","119,68","118,46","119,95","118,12","24,46M","1,96%"
"03.06.2021","117,38","117,29","117,85","116,48","18,70M","-0,97%"
"02.06.2021","118,53","119,46","119,68","117,62","21,16M","-0,44%"
"01.06.2021","119,06","118,72","119,29","117,71","23,36M","1,03%"
"28.05.2021","117,84","118,72","118,80","117,64","21,49M","-0,25%"
"27.05.2021","118,13","119,45","119,45","117,81","35,22M","-0,74%"
"26.05.2021","119,02","118,33","119,45","118,32","21,57M","0,74%"
"25.05.2021","118,14","118,60","119,20","117,75","22,44M","0,08%"
"24.05.2021","118,05","115,74","118,28","115,60","31,83M","2,92%"
"21.05.2021","114,71","115,87","115,94","114,46","40,63M","-0,56%"
"20.05.2021","115,35","114,55","115,60","114,18","32,35M","1,56%"
"19.05.2021","113,57","111,42","113,75","111,27","23,68M","0,40%"
"18.05.2021","113,12","115,12","115,38","113,11","22,20M","-1,16%"
"17.05.2021","114,45","113,18","114,49","112,78","21,60M","0,46%"
"14.05.2021","113,92","112,93","114,24","112,50","32,00M","2,21%"
"13.05.2021","111,45","111,31","111,97","110,34","33,22M","1,31%"
"12.05.2021","110,01","111,31","112,40","109,68","46,38M","-3,08%"
"11.05.2021","113,50","112,15","114,01","111,70","34,19M","-0,95%"
"10.05.2021","114,59","116,41","116,55","114,23","30,91M","-2,56%"
"07.05.2021","117,60","118,19","118,56","117,31","28,90M","0,62%"
"06.05.2021","116,87","115,32","116,87","114,65","25,19M","0,98%"
"05.05.2021","115,74","116,43","116,75","115,41","26,64M","0,34%"
"04.05.2021","115,34","115,68","116,25","112,83","44,82M","-1,55%"
"03.05.2021","117,15","118,25","119,08","116,78","28,24M","-0,44%"
"30.04.2021","117,68","118,40","119,09","117,33","44,86M","-1,64%"
"29.04.2021","119,64","119,46","120,21","118,69","41,23M","1,43%"
"28.04.2021","117,95","119,62","121,57","117,66","81,11M","2,97%"
"27.04.2021","114,55","115,88","115,92","114,31","44,39M","-0,82%"
"26.04.2021","115,50","115,23","116,23","114,87","32,04M","0,43%"
"23.04.2021","115,00","113,35","115,31","113,06","29,11M","2,10%"
"22.04.2021","112,63","113,77","114,44","112,02","24,15M","-1,13%"
"21.04.2021","113,92","113,60","114,00","112,24","23,20M","-0,03%"
"20.04.2021","113,95","114,87","114,95","112,86","22,29M","-0,47%"
"19.04.2021","114,49","113,51","115,20","113,51","30,29M","0,31%"
"16.04.2021","114,14","114,46","114,71","113,55","26,28M","-0,11%"
"15.04.2021","114,26","113,10","114,80","112,56","29,17M","1,93%"
"14.04.2021","112,10","113,37","113,37","111,80","21,00M","-0,56%"
"13.04.2021","112,72","112,55","113,17","112,15","25,68M","0,44%"
"12.04.2021","112,23","112,71","112,84","111,39","25,02M","-1,15%"
"09.04.2021","113,53","112,27","113,70","111,86","26,15M","0,90%"
"08.04.2021","112,52","113,20","113,59","112,15","28,66M","0,51%"
"07.04.2021","111,95","110,65","112,22","110,65","24,13M","1,35%"
"06.04.2021","110,46","110,55","111,40","110,09","35,24M","-0,44%"
"05.04.2021","110,95","107,36","111,45","107,26","48,51M","4,19%"
"01.04.2021","106,49","104,61","106,79","104,57","39,88M","3,26%"
"31.03.2021","103,13","102,72","104,31","102,35","42,57M","0,78%"
"30.03.2021","102,32","102,65","103,13","101,81","27,32M","0,03%"
"29.03.2021","102,29","101,11","102,46","100,27","26,49M","1,04%"
"26.03.2021","101,24","101,59","101,97","100,19","27,98M","-0,38%"
"25.03.2021","101,62","101,45","102,28","99,80","35,62M","0,00%"
"24.03.2021","101,63","102,59","103,38","101,45","25,22M","-0,43%"
"23.03.2021","102,07","102,00","103,21","101,40","28,51M","0,52%"
"22.03.2021","101,53","101,38","102,42","100,70","33,54M","0,18%"
"19.03.2021","101,35","101,49","101,85","100,15","46,07M","0,28%"
"18.03.2021","101,07","102,41","103,44","100,96","31,71M","-2,92%"
"17.03.2021","104,11","103,42","104,95","102,21","26,38M","-0,08%"
"16.03.2021","104,19","103,30","105,68","102,96","31,90M","1,43%"
"15.03.2021","102,72","102,25","102,75","101,39","26,21M","0,22%"
"12.03.2021","102,50","103,82","103,88","101,62","33,82M","-2,41%"
"11.03.2021","105,03","102,91","105,56","102,82","27,70M","3,16%"
"10.03.2021","101,81","103,07","103,07","100,97","27,10M","-0,20%"
"09.03.2021","102,02","102,49","103,20","101,78","33,92M","1,64%"
"08.03.2021","100,38","104,20","105,69","100,26","36,87M","-4,27%"
"05.03.2021","104,85","103,06","105,31","101,39","53,10M","3,10%"
"04.03.2021","101,70","100,74","103,73","100,27","49,22M","1,12%"
"03.03.2021","100,57","102,60","103,80","99,70","33,89M","-2,57%"
"02.03.2021","103,22","103,24","104,74","102,83","25,56M","-0,25%"
"01.03.2021","103,48","102,40","103,81","101,72","26,06M","2,36%"
"26.02.2021","101,10","101,50","102,83","100,05","40,04M","0,30%"
"25.02.2021","100,80","102,80","104,15","100,32","41,55M","-3,26%"
"24.02.2021","104,19","101,50","104,42","101,38","22,61M","1,15%"
"23.02.2021","103,01","100,70","103,63","99,51","34,66M","0,29%"
"22.02.2021","102,71","102,68","104,02","102,40","29,47M","-1,65%"
"19.02.2021","104,44","105,39","105,93","104,17","37,94M","-0,81%"
"18.02.2021","105,29","105,25","106,10","104,67","22,57M","-0,60%"
"17.02.2021","105,93","104,70","106,12","104,42","20,30M","0,38%"
"16.02.2021","105,54","104,59","107,26","104,59","31,00M","0,75%"
"12.02.2021","104,75","103,99","104,97","103,68","18,99M","0,30%"
"11.02.2021","104,44","104,55","104,70","103,44","20,48M","0,11%"
"10.02.2021","104,32","104,16","104,94","102,61","25,10M","0,53%"
"09.02.2021","103,77","103,74","104,93","103,50","21,89M","-0,44%"
"08.02.2021","104,23","105,00","105,75","103,17","28,83M","-0,21%"
"05.02.2021","104,44","102,98","104,80","102,50","29,87M","1,71%"
"04.02.2021","102,68","103,03","103,46","101,75","48,60M","-0,25%"
"03.02.2021","102,94","103,28","105,33","100,68","97,88M","7,28%"
"02.02.2021","95,96","95,66","97,47","95,32","66,33M","1,38%"
"01.02.2021","94,65","92,23","95,78","92,23","40,25M","3,60%"
"29.01.2021","91,37","91,70","92,38","90,08","44,53M","-1,39%"
"28.01.2021","92,66","91,55","94,40","91,55","55,28M","1,88%"
"27.01.2021","90,95","93,75","94,02","89,86","82,51M","-4,67%"
"26.01.2021","95,40","94,30","95,79","93,81","31,46M","0,72%"
"25.01.2021","94,71","95,64","96,09","92,96","50,59M","0,09%"
"22.01.2021","94,63","94,57","95,22","93,82","32,74M","0,45%"
"21.01.2021","94,21","94,68","96,60","93,97","58,66M","0,22%"
"20.01.2021","94,00","91,32","94,99","90,98","64,15M","5,36%"
"19.01.2021","89,22","87,15","90,19","86,64","41,66M","3,29%"
"15.01.2021","86,38","86,45","87,38","85,59","31,44M","-0,19%"
"14.01.2021","86,55","87,44","88,38","86,30","29,21M","-0,93%"
"13.01.2021","87,36","86,37","87,82","86,37","23,43M","0,57%"
"12.01.2021","86,87","87,27","88,39","85,82","29,53M","-1,07%"
"11.01.2021","87,81","88,85","89,22","87,61","34,81M","-2,31%"
"08.01.2021","89,89","88,86","89,97","88,06","35,48M","1,32%"
"07.01.2021","88,72","86,34","88,89","86,34","41,94M","2,99%"
"06.01.2021","86,14","85,01","87,20","84,81","46,59M","-0,99%"
"05.01.2021","87,00","86,25","87,34","85,85","20,36M","0,81%"
"04.01.2021","86,31","88,00","88,12","85,36","37,32M","-1,51%"